SMILES,MolWeight,HOMO,LUMO,E NEG,HARDNESS,SOFTNESS,MULLIKEN,LOEWDIN,MAYER,HIRSHFELD,FSPE,DIPOLE,CHEM SHIELD,Hirshfeld,ADCH,MK-ESP,CM5,QTAIM,IBO,Vbur,CB DIST
CC1=C(C=C(S1)B(O)O)C1=C(CCC1)C1=C(C)SC(=C1)B(O)O,348.083261856,-8.1886,0.5144,3.8370999999999995,4.3515,0.2298058140870964,-0.088067,-0.292033,6.0,-0.09812,-1729.783154217775,3.37516,45.799,-0.10767429,-0.08424093,-0.3783271889,-0.03256385,-0.825401,-0.312984,21.77486272456924,1.5564933466108812
COC1=C(OC(C)C)C=CC(=C1)B(O)O,210.10633936,-8.255,1.2446,3.5052000000000003,4.7498000000000005,0.2105351804286496,0.006111,-0.08365,6.0,-0.086408,-716.03099048512,0.96984,58.31,-0.08855698,-0.08663496,-0.2195340739,-0.02958307,-0.640099,-0.165161,22.65817303943954,1.5593556170505418
CCOC(=O)\C=C\C1=CC=C(C=C1)B(O)O,220.090689296,-8.8335,-0.3573,4.595400000000001,4.2381,0.23595479106203252,0.034709,-0.067359,6.0,-0.070712,-752.950010520705,0.81744,51.156,-0.0734111,-0.10682917,-0.1955621241,-0.01548266,-0.638755,-0.154265,22.57603054030273,1.5656257342866413
OB(O)C1=C(C=CC=C1)C#C,146.053909864,-9.0173,0.4105,4.3034,4.713900000000001,0.2121385689132141,-0.127697,-0.02368,6.0,-0.063492,-484.462640266577,1.34823,48.754,-0.06625475,-0.08976464,-0.3503667446,-0.00646306,-0.610069,-0.147192,25.628529342971383,1.5743605138719183
COC(=O)C1=CC=C(B(O)O)C(OC)=C1,210.069953852,-9.0252,-0.0387,4.53195,4.49325,0.22255605630668227,-0.043752,-0.0413,6.0,-0.07845,-750.762364261177,3.71913,59.768,-0.08154882,-0.12128,-0.432842475,-0.02248814,-0.594598,-0.185203,24.34627100898834,1.5857613308135847
COC(=O)C1=CC(=CC(C)=C1)B(O)O,194.075039232,-9.2645,0.4196,4.4224499999999995,4.84205,0.20652409619892398,0.116002,-0.070634,6.0,-0.075255,-675.545284358259,1.89612,54.484,-0.07805817,-0.10511166,-0.1987611089,-0.019935,-0.626782,-0.161907,22.623018834300478,1.5660658907652563
COC1=C(F)C=CC(F)=C1B(O)O,188.045630924,-9.1393,0.6444,4.247450000000001,4.89185,0.20442164007481833,-0.184708,-0.023257,6.0,-0.090047,-721.362933104268,2.24684,70.598,-0.09299503,-0.14231882,-0.4206943288,-0.02789313,-0.561601,-0.215792,27.157145562077456,1.5830624777997158
CC1=CC(B(O)O)=C(C)C=C1Br,227.99572206000002,-8.83,0.8888,3.9706,4.8594,0.20578672264065523,-0.000503,-0.045358,6.0,-0.080753,-3060.570902587101,1.80725,52.143,-0.08225806,-0.07513888,-0.3344167665,-0.02268038,-0.651318,-0.170227,26.314628047625945,1.5676367411431467
OB(O)C1=CC=C(C=C1)S(F)(F)(F)(F)F,248.010171932,-9.892,0.2936,4.7992,5.0927999999999995,0.1963556393339617,-0.049851,-0.057716,6.0,-0.062284,-1305.160713284123,6.95043,48.842,-0.06374178,-0.11364679,-0.0864254189,-0.00467621,-0.627253,-0.136578,22.647383134891903,1.5647849368730429
OB(O)C1=CN(N=C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,354.15395824800004,-8.7434,1.1403,3.8015499999999998,4.94185,0.20235336968948878,-0.083657,-0.125673,6.0,-0.124203,-1134.772583699504,3.15311,76.756,-0.13318918,-0.22262817,-0.2881292582,-0.05233191,-0.671891,-0.249738,21.015740730427808,1.5389103387903518
