SMILES,MolWeight,HOMO,LUMO,E NEG,HARDNESS,SOFTNESS,MULLIKEN,LOEWDIN,MAYER,HIRSHFELD,FSPE,DIPOLE,CHEM SHIELD,Hirshfeld,ADCH,MK-ESP,CM5,QTAIM,IBO,Vbur,CB DIST
CC(=C)COC1=CC=CC=C1Br,225.999327072,-8.4845,1.45,3.51725,4.96725,0.20131863707282702,-0.110684,-0.359372,6.0,0.001769,-3037.13637316825,3.13934,57.799,-0.01492866,-0.05003233,-0.2596830431,-0.03088595,-0.10635,-0.083179,25.2375171246227,1.9040209680261007
CCCCCCCCCCC1=CC=C(Br)C=C1,296.11396290000005,-8.8625,1.2729,3.7948000000000004,5.0677,0.19732817649032103,0.034848,-0.384352,6.0,0.020933,-3199.06231854797,2.37842,48.213,0.00560802,1.39847991,-0.1343410976,-0.01626099,-0.123125,-0.046244,33.95868371517993,1.909738877128627
CC(C)(C)C1=CC=C(C=C1)C1=CC=C(Br)C=C1,288.05136264400005,-8.3399,0.757,3.79145,4.54845,0.2198551154788994,0.072998,-0.377073,6.0,0.018856,-3194.219656494462,2.72735,46.334,0.0030806,0.02049529,-0.0200364083,-0.0181379,-0.110487,-0.043213,22.94031164028825,1.9090934667812973
BrC1=CC=C(OCCN2CCCCC2)C=C1,283.057176296,-8.2467,1.4776,3.3845500000000004,4.862150000000001,0.20567033102639776,0.060594,-0.390363,6.0,0.004998,-3210.466332819383,3.8883,56.361,-0.01095856,-0.02126635,-0.0710337969,-0.03206898,-0.119637,-0.06562,22.907245803771314,1.9114303202294738
BrC1=CC=C(CN2CCCC2)C=C1,239.030961548,-8.2527,1.2382,3.5072500000000004,4.74545,0.21072817119556628,0.052109,-0.376646,6.0,0.019534,-3056.597661436259,1.18426,45.897,0.00392532,0.02020865,-0.1219775806,-0.01736186,-0.119321,-0.04268,22.936482964481026,1.909790474272369
BrC1=C(OCC2=CC=CC=C2)C=CC2=C1C=CC=C2,312.014977136,-7.8907,0.4449,3.7229,4.1678,0.23993473775133164,-0.157692,-0.318661,6.0,-0.005568,-3305.126355193159,2.97365,62.981,-0.02182206,-0.00328295,-0.3501948232,-0.03461333,-0.10178,-0.098947,29.529949990532728,1.9079245220171102
CCOC1=CC=CC(Br)=C1,199.983677008,-8.553,1.3961,3.5784500000000006,4.974550000000001,0.20102320812937852,0.058246,-0.371366,6.0,0.023274,-2959.737082651244,1.85206,43.519,0.00803459,-0.07372104,0.0252981121,-0.01299465,-0.108103,-0.021655,23.107798803782455,1.9136515201679944
ClC1=CC(Br)=CC(Cl)=C1Cl,257.840545204,-9.3812,0.5024,4.4394,4.9418,0.20235541705451457,0.052019,-0.376384,6.0,0.028111,-4184.703791201855,0.97884,46.611,0.01263975,0.00257772,-0.1033848045,-0.00838225,-0.105144,-0.034196,22.94135582459931,1.901831110652619
ClC1=CC=C(Br)C2=C1C=CC=C2,239.934139972,-8.384,0.0243,4.17985,4.20415,0.2378602095548446,-0.008646,-0.329261,6.0,0.020843,-3419.135527954852,0.67667,47.0,0.0060645,0.00432975,-0.175340977,-0.01236011,-0.108906,-0.044615,26.60163950859294,1.9120000649597588
COC(=O)C1=CC(OC)=C(Br)C(OC)=C1,273.98407093200007,-8.5868,0.3465,4.12015,4.4666500000000005,0.22388143239340444,-0.213459,-0.335156,6.0,-0.009077,-3262.860646696651,2.75286,64.058,-0.02708404,-0.05473941,-0.5332605565,-0.03749797,-0.089205,-0.115943,26.972603388169254,1.8905675947382428
CC1=C(Cl)C(Br)=CC=C1,203.934139972,-9.1113,1.1482,3.98155,5.12975,0.19494127394122523,0.024218,-0.387397,6.0,0.014547,-3304.807702979744,2.65157,44.403,-0.002693,-0.03129972,-0.0128131406,-0.02070666,-0.083317,-0.05555,26.443689228473094,1.9004558502236288
COC(=O)CCC(=O)C1=CC=C(Br)C=C1,269.98915631200003,-9.3601,-0.1436,4.751849999999999,4.60825,0.21700211577062878,0.078632,-0.368148,6.0,0.031837,-3225.765368977219,1.0475,37.705,0.01624539,0.06684597,-0.0718887402,-0.00522562,-0.119995,-0.026964,22.97755421404943,1.9034630014006577
BrC1=C(C=CC=C1)C1=CC=CS1,237.945183324,-8.4128,0.63,3.8914000000000004,4.521400000000001,0.22117043393639135,-0.062512,-0.326845,6.0,0.022391,-3357.710916859399,1.35262,45.437,0.00696745,0.10172197,-0.0185904829,-0.01090849,-0.111323,-0.044654,29.495213459118098,1.9126907944648321
BrC1=CC(=CC=C1)N1CCOCC1,241.010226104,-7.7978,1.4042,3.1967999999999996,4.601,0.21734405564007825,0.087796,-0.370569,6.0,0.022838,-3092.50863207849,2.25106,42.479,0.00772258,0.08401902,0.0001850385,-0.0131962,-0.111778,-0.018968,23.13494759587004,1.9152972819697818
COC(=O)C1=C(F)C=CC(Br)=C1,231.953519752,-9.2438,0.0584,4.5927,4.6511000000000005,0.21500290253918425,0.059173,-0.382389,6.0,0.015601,-3133.037708480571,2.1152,51.933,0.00019036,-0.01213476,-0.1429795631,-0.02084408,-0.105883,-0.056748,22.905157435149192,1.9055380169628056
COC(=O)C1=CC=CC(Br)=C1F,231.953519752,-9.3571,0.1069,4.625100000000001,4.732,0.21132713440405748,-0.086081,-0.368968,6.0,0.002426,-3133.034791373627,0.65338,57.715,-0.0138168,-0.04591395,-0.2293144996,-0.03023662,-0.084918,-0.093035,24.53032589688471,1.897560750727111
CC1=CC(Br)=CC(C)=C1C#N,208.984011356,-9.2747,0.0772,4.59875,4.675949999999999,0.21386028507576002,0.091614,-0.360548,6.0,0.032529,-2976.768782446395,2.26629,38.919,0.01709975,-0.00079822,0.0891670545,-0.00408895,-0.11929,-0.018347,23.03289598253567,1.904507860965745
FC1=CC(Br)=C(CC#N)C=C1,212.95893948,-9.5814,0.6573,4.4620500000000005,5.11935,0.19533729868049654,-0.024692,-0.334395,6.0,0.02408,-3036.697665715419,2.36962,44.48,0.00914995,-0.00290266,-0.1128963495,-0.00955103,-0.097031,-0.039483,27.52943207511444,1.910782164155926
BrC1=CC2=C(C=C1)C=C(OCC1=CC=CC=C1)C=C2,312.014977136,-8.0058,0.5059,3.74995,4.255850000000001,0.23497068740674598,0.092443,-0.379437,6.0,0.013825,-3305.131877860381,3.02228,51.188,-0.00179927,-0.01369782,0.0078047081,-0.02280652,-0.117421,-0.050121,23.002475412940086,1.9110276221816902
CC1=CC(F)=CC(C)=C1Br,201.979340576,-8.859,1.3865,3.73625,5.12275,0.19520765213996388,-0.197043,-0.314028,6.0,0.003613,-2983.778928120689,0.33584,50.206,-0.01062827,-0.0058376,-0.3039546576,-0.02719229,-0.121422,-0.078299,31.75517636969137,1.9176921529886966
CC(C)(C)C(=O)C1=CC=C(Br)C=C1,240.014977136,-9.1331,1.1159,4.0086,5.1245,0.19514098936481608,0.045353,-0.373893,6.0,0.022344,-3076.488364239461,2.70272,45.437,0.00681984,-0.20363066,-0.0438097233,-0.0144397,-0.113786,-0.039115,22.947760155040488,1.9080240361098602
BrC1=CC=C(OC2CC2)C=C1,211.983677008,-8.3947,1.3721,3.5113000000000003,4.8834,0.20477536142851294,0.035934,-0.389756,6.0,0.006478,-2997.811788437435,2.9116,55.653,-0.00935693,-0.00577026,-0.1740202789,-0.03050159,-0.115613,-0.064288,22.912049051602196,1.9102820303961452
FC(F)(F)CC(=O)C1=CC=C(Br)C=C1,265.955411572,-9.5312,-0.483,5.0071,4.5241,0.22103843858446984,0.061478,-0.363784,6.0,0.035753,-3295.653363957949,2.53993,35.861,0.02034843,-0.00641644,-0.0449067607,-0.00113059,-0.113771,-0.021732,22.95841083501331,1.900525953380312
COC(=O)CC1=CC(Br)=C(OC)C=C1,257.98915631200003,-8.4553,1.3044,3.5754499999999996,4.879849999999999,0.2049243316905233,-0.03656,-0.355153,6.0,0.002654,-3187.639575715365,1.08269,57.935,-0.01412049,-0.03444002,-0.2405745473,-0.02994082,-0.104068,-0.080725,24.96039060846708,1.9033253466822002
COC1=CC(C)=CC=C1Br,199.983677008,-8.3649,1.4321,3.4664,4.8985,0.20414412575278146,-0.124217,-0.363501,6.0,-0.00244,-2959.734558684176,3.26192,60.903,-0.01939564,-0.03888655,-0.3432257476,-0.03530019,-0.104496,-0.089504,24.901150551886214,1.9032474668011703
BrC1=CC=CC(\C=C\C=O)=C1,209.968026944,-9.1662,-0.703,4.9346,4.2316,0.23631723225257584,0.073012,-0.373863,6.0,0.023235,-2996.618099772391,3.0736,44.005,0.00734802,-0.01182821,0.0180104928,-0.01389948,-0.12726,-0.038642,22.979294521234532,1.9069016499851539
BrC1=CC=C(C=C1)C1OCCCO1,241.994241692,-9.0117,1.1767,3.9174999999999995,5.0942,0.1963016764163166,0.034706,-0.374914,6.0,0.020203,-3112.391086221607,2.24262,45.228,0.00458007,-0.00154304,-0.0319991212,-0.01663309,-0.117485,-0.040519,22.950266197387034,1.9094345586800316
BrC1=CC(=CC=C1)C1=NCC(=O)NC2=C1OC1=CC=CC=C21,354.000389692,-8.5341,-0.3695,4.4518,4.0823,0.2449599490483306,0.079197,-0.371655,6.0,0.021456,-3488.6757152503,4.06151,46.535,0.00564921,0.12265217,0.0465562831,-0.01540152,-0.097839,-0.040342,23.02029615851553,1.9110611327348455
CC(C)(C)OC(=O)N1CCC(CC1)C1=CC=C(Br)C=C1,339.083391044,-8.8873,1.2951,3.7961,5.0912,0.1964173475801383,0.05931,-0.377894,6.0,0.017661,-3402.505729273642,2.56486,47.269,0.00186655,-0.01386466,-0.1117112463,-0.0193312,-0.116772,-0.044268,22.932654288673803,1.9100452199346083
BrC1=C(OC2CCCCO2)C=CC=C1,256.009891756,-8.5185,1.4957,3.5113999999999996,5.007099999999999,0.19971640270815444,-0.143355,-0.357959,6.0,0.001279,-3151.719068853994,1.85393,57.811,-0.01548867,0.02619812,-0.2355889852,-0.03129242,-0.10523,-0.08182,26.177213392290298,1.9058019904211128
