SMILES,MolWeight,HOMO,LUMO,E NEG,HARDNESS,SOFTNESS,MULLIKEN,LOEWDIN,MAYER,HIRSHFELD,FSPE,DIPOLE,CHEM SHIELD,Hirshfeld,ADCH,MK-ESP,CM5,QTAIM,IBO,Vbur,CB DIST
OB(O)C1=CC=C2N=CSC2=C1,179.021229832,-8.8964,0.3348,4.2808,4.6156,0.2166565560273854,0.046446,-0.074441,6.0,-0.077571,-898.78459104766,0.52462,57.86,-0.07959754,-0.11150517,-0.2998823239,-0.02120679,-0.617121,-0.163185,22.709338070681532,1.5647244920301846
OB(O)C1=CC(Cl)=CC=C1N(=O)=O,201.00001572,-9.7728,-0.8284,5.3006,4.4722,0.22360359554581638,0.080392,0.001832,6.0,-0.039857,-1072.452496605407,2.37784,43.819,-0.04532064,-0.07500841,-0.0750263504,0.02015651,-0.510169,-0.10074,29.639380506331936,1.585711506259847
OB(O)C1=CC=C(OCC2=CC=C(F)C=C2)C=C1,246.086352864,-8.3721,1.2565,3.5578,4.814299999999999,0.20771451716760486,-0.053668,-0.085735,6.0,-0.092952,-853.173989392132,2.2129,63.329,-0.09603164,-0.10797717,-0.1992488116,-0.03503959,-0.661361,-0.182339,22.589117650334696,1.5525599604720812
COC1=CC=CC(OC(C)C)=C1B(O)O,210.10633936,-8.3413,1.2323,3.5545,4.7868,0.20890782986546333,-0.180206,-0.027553,6.0,-0.100764,-716.035545523782,2.86896,72.911,-0.10440295,-0.14559194,-0.7331917967,-0.03870527,-0.593046,-0.228669,29.247463328246997,1.5812711204806238
OB(O)C1=CC=NC2=C1C=CN2,162.060057864,-8.3951,0.5002,3.94745,4.447649999999999,0.22483783571099347,-0.098784,-0.032343,6.0,-0.061629,-555.941225292521,2.57761,50.685,-0.06398679,-0.06116347,-0.123294657,-0.00088042,-0.62668,-0.136647,24.15887473129657,1.5652112274170447
OB(O)C1=C(OC(F)F)N=CC=C1,189.040879892,-9.2434,0.6292,4.3071,4.936299999999999,0.20258088041650632,-0.127264,-0.049624,6.0,-0.085856,-737.432289776241,4.33466,72.377,-0.09105992,-0.15370265,-0.5244727607,-0.02165449,-0.592953,-0.205565,24.06622077676175,1.5676054895849996
OB(O)C1=CC=C(N=C1)N1CCCC1,192.10700805599998,-7.5072,1.6596,2.9238,4.5834,0.21817864467425926,-0.071532,-0.108704,6.0,-0.113676,-635.779108058316,1.34641,75.78,-0.11977379,-0.15801266,-0.536016836,-0.05217259,-0.689102,-0.239184,22.411467092879498,1.5458745278559674
CC(C)(C)OC(=O)N1N=CC=C1B(O)O,212.096837296,-9.8409,0.3651,4.7379,5.103,0.1959631589261219,-0.075932,-0.088083,6.0,-0.021285,-748.149038403902,4.21488,38.661,-0.03484294,-0.04404519,-0.3787557005,0.09568365,-0.235267,-0.082955,24.915560295378857,1.587021844308898
OCC1=CC(F)=CC=C1B(O)O,170.055052736,-9.3369,0.8538,4.24155,5.09535,0.19625737191753265,-0.077063,-0.042744,6.0,-0.078999,-622.124546035781,1.22883,53.056,-0.08081336,-0.02446771,-0.3386938811,-0.02203403,-0.619717,-0.168314,27.83767528373968,1.5770364478273404
NC(=O)C1=C(F)C=CC(=C1)B(O)O,183.050301704,-9.641,0.4177,4.61165,5.02935,0.19883285116366925,0.07058,-0.074465,6.0,-0.077901,-676.304500181696,2.09292,57.912,-0.07994458,-0.10236282,-0.2544527052,-0.02171889,-0.621556,-0.170879,22.5669809429402,1.5658380487864532
OB(O)C1=C2OC3=C(C=CC=C3C2=CC=C1)C1=CC=CC=C1,288.095774676,-8.0568,0.4622,3.7973000000000003,4.2595,0.23476933912431036,-0.197652,-0.048805,6.0,-0.086145,-944.479219000711,2.0119,70.77,-0.08951918,-0.14024722,-0.2586342682,-0.02457853,-0.606646,-0.18889,23.85508670906519,1.560367547278914
OB(O)C1=C(F)C=C(OC2=CC=CC=C2)C=C1,232.0707028,-8.4914,1.1646,3.6634,4.828,0.20712510356255176,-0.199674,-0.06442,6.0,-0.103171,-813.856486813843,1.51241,75.634,-0.10618145,-0.27110001,-0.413781368,-0.04139051,-0.618671,-0.219876,23.68154327656683,1.559283938528839
OB(O)C1=CC(=CC(F)=C1)C(O)=O,184.034317292,-9.6692,0.1465,4.76135,4.90785,0.2037552084925171,-0.063546,-0.060884,6.0,-0.066134,-696.166318822392,7.69228,50.269,-0.06858916,-0.12669934,0.0287501855,-0.00917941,-0.605806,-0.139536,22.726671530245145,1.5639592100737045
COC(=O)C1=C(C=CC(Cl)=C1)B(O)O,214.020416816,-9.429,-0.0664,4.7477,4.6813,0.21361587593189924,-0.109036,-0.012775,6.0,-0.054939,-1095.837837761798,2.00821,48.444,-0.05787535,-0.09778488,-0.1113905699,-3.743e-05,-0.582595,-0.135885,26.971280754708577,1.5908774510518975
OB(O)C1=COC(C=O)=C1,140.02808904,-9.0704,0.2383,4.416049999999999,4.65435,0.2148527721378925,-0.019681,-0.099632,6.0,-0.103571,-519.436333579102,5.68699,67.989,-0.10925298,-0.15880894,-0.2237943391,-0.04305977,-0.613735,-0.215741,21.06286824900037,1.5496808815703809
OB(O)C1=CC(NC(=O)C2=CC=CC=C2)=CC=C1,241.091023644,-8.2611,0.6085,3.8263000000000003,4.4348,0.22548931180662035,-0.035661,-0.073885,6.0,-0.076958,-808.100008091099,5.34478,53.315,-0.07989254,-0.12802359,-0.0089503662,-0.01969195,-0.639166,-0.149144,22.701193433055256,1.5588384024352986
CC1=C(C=C(C=C1N(=O)=O)N(=O)=O)B(O)O,226.039716344,-10.4429,-1.1235,5.7832,4.6597,0.21460609052084897,0.110744,-0.022401,6.0,-0.060748,-856.687972992883,5.01596,45.558,-0.06249207,0.14471985,-0.1851484243,-0.00409241,-0.589092,-0.152742,26.461579586335944,1.5791296291536385
